family,parameter_name,parameter_value,mean_x,mean_k,delta_x,delta_k,delta_p,uncertainty_product,ratio_to_hbar_over_2,C,D,S_balance,pass_fail
gaussian_width_sweep,sigma,0.5,-4.336808689942018e-17,-5.580589596821668e-17,0.5,1.0,1.0,0.5,1.0,1.999999999996,1.0,0.6666666666676666,PASS
gaussian_width_sweep,sigma,0.7875,0.0,-5.580589596821668e-17,0.7875000000000001,0.6349206349206349,0.6349206349206349,0.5,1.0,1.2698412698396573,0.6349206349206349,0.666666666667406,PASS
gaussian_width_sweep,sigma,1.075,8.673617379884035e-17,-5.580589596821668e-17,1.075,0.46511627906976744,0.46511627906976744,0.5,1.0,0.9302325581386696,0.46511627906976744,0.666666666667319,PASS
gaussian_width_sweep,sigma,1.3624999999999998,-8.673617379884035e-17,-2.790294798410834e-17,1.3624999999999996,0.36697247706422026,0.36697247706422026,0.49999999999999994,0.9999999999999999,0.7339449541279018,0.36697247706422026,0.6666666666672957,PASS
gaussian_width_sweep,sigma,1.65,-8.673617379884035e-17,-2.790294798410834e-17,1.6500000000000001,0.30303030303030304,0.30303030303030304,0.5,1.0,0.6060606060602387,0.30303030303030304,0.6666666666673027,PASS
gaussian_width_sweep,sigma,1.9375,-8.673617379884035e-17,0.0,1.9375,0.2580645161290323,0.2580645161290323,0.5000000000000001,1.0000000000000002,0.516129032257798,0.2580645161290323,0.6666666666673267,PASS
gaussian_width_sweep,sigma,2.2249999999999996,-1.734723475976807e-16,-1.395147399205417e-17,2.224999999999999,0.22471910112359555,0.22471910112359555,0.49999999999999994,0.9999999999999999,0.44943820224698916,0.22471910112359555,0.6666666666673609,PASS
gaussian_width_sweep,sigma,2.5124999999999997,-1.734723475976807e-16,-1.395147399205417e-17,2.5124999999999997,0.19900497512437815,0.19900497512437815,0.5,1.0,0.3980099502485978,0.19900497512437815,0.6666666666674019,PASS
gaussian_width_sweep,sigma,2.8,-1.734723475976807e-16,0.0,2.8,0.17857142857142858,0.17857142857142858,0.5,1.0,0.3571428571427296,0.17857142857142858,0.6666666666674477,PASS
gaussian_width_sweep,sigma,3.0875,-3.469446951953614e-16,-1.395147399205417e-17,3.0875,0.1619433198380567,0.1619433198380567,0.5000000000000001,1.0000000000000002,0.32388663967600845,0.1619433198380567,0.6666666666674967,PASS
gaussian_width_sweep,sigma,3.375,0.0,0.0,3.3750000000000004,0.14814814814814817,0.14814814814814817,0.5000000000000001,1.0000000000000002,0.29629629629620846,0.14814814814814817,0.6666666666675485,PASS
gaussian_width_sweep,sigma,3.6624999999999996,0.0,0.0,3.6624999999999996,0.13651877133105803,0.13651877133105803,0.49999999999999994,0.9999999999999999,0.2730375426620415,0.13651877133105803,0.666666666667602,PASS
gaussian_width_sweep,sigma,3.9499999999999997,0.0,0.0,3.9499999999999997,0.1265822784810127,0.1265822784810127,0.5000000000000001,1.0000000000000002,0.2531645569619612,0.1265822784810127,0.6666666666676571,PASS
gaussian_width_sweep,sigma,4.2375,3.469446951953614e-16,0.0,4.2375,0.11799410029498525,0.11799410029498525,0.49999999999999994,0.9999999999999999,0.23598820058991482,0.11799410029498525,0.6666666666677132,PASS
gaussian_width_sweep,sigma,4.5249999999999995,0.0,-1.395147399205417e-17,4.524999999999999,0.1104972375690608,0.1104972375690608,0.49999999999999994,0.9999999999999999,0.22099447513807277,0.1104972375690608,0.6666666666677704,PASS
gaussian_width_sweep,sigma,4.8125,-3.469446951953614e-16,0.0,4.8125,0.10389610389610389,0.10389610389610389,0.49999999999999994,0.9999999999999999,0.20779220779216462,0.10389610389610389,0.6666666666678284,PASS
gaussian_width_sweep,sigma,5.1,-3.469446951953614e-16,0.0,5.1,0.09803921568627451,0.09803921568627451,0.49999999999999994,0.9999999999999999,0.19607843137251058,0.09803921568627451,0.6666666666678871,PASS
gaussian_width_sweep,sigma,5.387499999999999,0.0,-6.975736996027085e-18,5.387499999999999,0.09280742459396753,0.09280742459396753,0.5,1.0,0.1856148491879006,0.09280742459396753,0.6666666666679464,PASS
gaussian_width_sweep,sigma,5.675,0.0,0.0,5.674999999999999,0.0881057268722467,0.0881057268722467,0.49999999999999994,0.9999999999999999,0.17621145374446237,0.0881057268722467,0.666666666668006,PASS
