profile_name,delta_x,delta_k,delta_p,uncertainty_product,ratio_to_hbar_over_2,pass_fail
Gaussian,4.0,0.125,0.125,0.5,1.0,PASS
narrow Gaussian,0.9999999999999999,0.5,0.5,0.49999999999999994,0.9999999999999999,PASS
broad Gaussian,7.999999934299794,0.062499999487442066,0.062499999487442066,0.4999999917932737,0.9999999835865474,PASS
square/windowed pulse,1.7319794340388317,8.701337009483042,8.701337009483042,15.07053674906558,30.14107349813116,PASS
exponential decay,2.1213188801260245,0.3335331655399717,0.3335331655399717,0.7075302012081407,1.4150604024162814,PASS
double Gaussian,4.168738835943685,0.4076547830614922,0.4076547830614922,1.6994063258066405,3.398812651613281,PASS
phase-twisted Gaussian,4.0,0.12499999999999996,0.12499999999999996,0.49999999999999983,0.9999999999999997,PASS
