family,parameter_name,parameter_value,delta_x,delta_k,uncertainty_product,ratio_to_hbar_over_2,S_balance_original,S_balance_log,S_balance_product_distance,Hx_norm,Hk_norm,S_balance_entropy,S_combined,pass_fail
gaussian_width_sweep,sigma,0.5,0.5,1.0,0.5,1.0,0.6666666666676666,0.50000000000125,1.0,0.6002313852709802,0.431389688939926,0.8311583036689458,0.6659416567792875,PASS
gaussian_width_sweep,sigma,0.7875,0.7875000000000001,0.6349206349206349,0.5,1.0,0.666666666667406,0.5000000000010286,1.0,0.6470422301074451,0.38457884404734677,0.7375366139399017,0.6347344268694455,PASS
gaussian_width_sweep,sigma,1.075,1.075,0.46511627906976744,0.5,1.0,0.666666666667319,0.5000000000010026,1.0,0.6791125751294331,0.35250849896537667,0.6733959238359435,0.613354196834755,PASS
gaussian_width_sweep,sigma,1.3624999999999998,1.3624999999999996,0.36697247706422026,0.49999999999999994,0.9999999999999999,0.6666666666672957,0.5000000000010483,1.0000000000000002,0.7035354014998687,0.3280856725337271,0.6245502710338584,0.5970723125674008,PASS
gaussian_width_sweep,sigma,1.65,1.6500000000000001,0.30303030303030304,0.5,1.0,0.6666666666673027,0.5000000000011281,1.0,0.7232646724782427,0.3083564014936728,0.5850917290154302,0.5839194652279537,PASS
gaussian_width_sweep,sigma,1.9375,1.9375,0.2580645161290323,0.5000000000000001,1.0000000000000002,0.6666666666673267,0.500000000001227,0.9999999999999998,0.7398168356950402,0.2918042382150207,0.5519874025199805,0.5728846897295113,PASS
gaussian_width_sweep,sigma,2.2249999999999996,2.224999999999999,0.22471910112359555,0.49999999999999994,0.9999999999999999,0.6666666666673609,0.5000000000013373,1.0000000000000002,0.754074623181803,0.2775464506663593,0.5234718274845563,0.5633794980510848,PASS
gaussian_width_sweep,sigma,2.5124999999999997,2.5124999999999997,0.19900497512437815,0.5,1.0,0.6666666666674019,0.5000000000014554,1.0,0.7665973559916447,0.2650237177946376,0.49842636180299293,0.5550310094906167,PASS
gaussian_width_sweep,sigma,2.8,2.8,0.17857142857142858,0.5,1.0,0.6666666666674477,0.5000000000015786,1.0,0.7777618724206701,0.25385920130378314,0.47609732888311307,0.5475879985173798,PASS
gaussian_width_sweep,sigma,3.0875,3.0875,0.1619433198380567,0.5000000000000001,1.0000000000000002,0.6666666666674967,0.5000000000017059,0.9999999999999998,0.7878341801818803,0.24378689348081187,0.4559527132989315,0.5408731266560447,PASS
gaussian_width_sweep,sigma,3.375,3.3750000000000004,0.14814814814814817,0.5000000000000001,1.0000000000000002,0.6666666666675485,0.5000000000018359,0.9999999999999998,0.7970090633674524,0.2346120102335536,0.43760294686610124,0.5347565378451619,PASS
gaussian_width_sweep,sigma,3.6624999999999996,3.6624999999999996,0.13651877133105803,0.49999999999999994,0.9999999999999999,0.666666666667602,0.5000000000019679,1.0000000000000002,0.8054334388321018,0.22618763470729944,0.4207541958751976,0.5291402875149225,PASS
gaussian_width_sweep,sigma,3.9499999999999997,3.9499999999999997,0.1265822784810127,0.5000000000000001,1.0000000000000002,0.6666666666676571,0.5000000000021019,0.9999999999999998,0.8132208597528311,0.21840021372504517,0.40517935397221405,0.5239486735473243,PASS
gaussian_width_sweep,sigma,4.2375,4.2375,0.11799410029498525,0.49999999999999994,0.9999999999999999,0.6666666666677132,0.5000000000022368,1.0000000000000002,0.8204609107596995,0.21116016265673188,0.39069925189703236,0.5191219728556608,PASS
gaussian_width_sweep,sigma,4.5249999999999995,4.524999999999999,0.1104972375690608,0.49999999999999994,0.9999999999999999,0.6666666666677704,0.500000000002373,1.0000000000000002,0.8272255124086451,0.20439556094641903,0.377170048537774,0.5146122384026391,PASS
gaussian_width_sweep,sigma,4.8125,4.8125,0.10389610389610389,0.49999999999999994,0.9999999999999999,0.6666666666678284,0.5000000000025101,1.0000000000000002,0.8335732800971306,0.198047793196638,0.3644745130995074,0.5103803932566153,PASS
