profile_name,relative_error,overlap_real,overlap_imag,max_abs_residual,pass_fail
Gaussian,1.5332372312117658e-12,1.0,-6.629974039199442e-17,7.164711720402171e-13,PASS
boundary_locked_gaussian,9.944467823640519e-06,0.9999999999999973,-7.240808571767231e-17,1.32670272577374e-06,PASS
sharp_boundary_locked_gaussian,1.6541654890944413e-12,1.0000000000000007,-7.198900770945263e-17,9.935992395360664e-13,PASS
selector_phase_twisted_record,9.944778756642334e-06,0.9999999999999977,-1.4110912431595835e-16,1.3267441778915814e-06,PASS
two_time_overlap_record,1.7604991549922532e-12,1.0000000000000007,-3.945752483111347e-17,8.15771700836877e-13,PASS
oscillatory_selector_record,1.8847091952918744e-12,0.9999999999999993,-1.3322025071572791e-17,8.345942396401576e-13,PASS
